,doc_id,sentence
72,2,"or that my tone should be"
73,2,"tun'd to such solemn song"
74,2,"so mournfully - so mournfully,"
75,2,"that the dead may feel no wrong,"
76,2,""
77,2,"vi,"
78,2,""
79,2,"but she is gone above,"
80,2,"with young hope at her side,"
81,2,"and i am drunk with love"
82,2,"of the dead, who is my bride, -"
83,2,""
84,2,"vii,"
85,2,""
86,2,"of the dead - dead who lies"
87,2,"all perfum'd there,"
88,2,"with the death upon her eyes,"
89,2,"and the life upon her hair,"
90,2,""
91,2,"viii,"
92,2,""
93,2,"thus on the coffin loud and long"
94,2,"i strike - the murmur sent"
95,2,"through the grey chambers to my song,"
96,2,"shall be the accompaniment,"
97,2,""
98,2,"ix,"
99,2,""
100,2,"thou died'st in thy life's june -"
101,2,"but thou did'st not die too fair,"
102,2,"thou did'st not die too soon,"
103,2,"nor with too calm an air,"
104,2,""
105,2,"x,"
106,2,""
107,2,"from more than fiends on earth,"
108,2,"thy life and love are riven,"
109,2,"to join the untainted mirth"
110,2,of more than thrones in heaven -
111,2,""
112,2,"xii,"
113,2,""
114,2,"therefore, to thee this night"
115,2,"i will no requiem raise,"
116,2,"but waft thee on thy flight,"
117,2,"with a pæan of old days,"
118,3,"for her this rhyme is penned, whose luminous eyes,"
119,3,"   brightly expressive as the twins of leda,"
120,3," shall find her own sweet name, that nestling lies"
121,3,"   upon the page, enwrapped from every reader,"
122,3," search narrowly the lines!- they hold a treasure"
123,3,"   divine- a talisman- an amulet"
124,3," that must be worn at heart, search well the measure-"
125,3,"   the words- the syllables! do not forget"
126,3," the trivialest point, or you may lose your labor"
127,3,"   and yet there is in this no gordian knot"
128,3," which one might not undo without a sabre,"
129,3,"   if one could merely comprehend the plot,"
130,3," enwritten upon the leaf where now are peering"
131,3,"   eyes scintillating soul, there lie perdus"
132,3," three eloquent words oft uttered in the hearing"
133,3,"   of poets, by poets- as the name is a poet's, too,"
134,3," its letters, although naturally lying"
135,3,"   like the knight pinto- mendez ferdinando-"
136,3," still form a synonym for truth- cease trying!"
137,3,"   you will not read the riddle, though you do the best you can do,"
138,4,part i
139,4,""
140,4,"     o! nothing earthly save the ray"
141,4,"     thrown back from flowers of beauty's eye,"
142,4,"     as in those gardens where the day"
143,4,"     springs from the gems of circassy-"
144,4,"     o! nothing earthly save the thrill"
145,4,"     of melody in woodland rill-"
146,4,"     or music of the passion-hearted"
147,4,"     joy's voice so peacefully departed"
148,4,"     that like the murmur in the shell,"
149,4,"     its echo dwelleth and will dwell-"
150,4,"     oh, nothing of the dross of ours-"
151,4,"     yet all the beauty- all the flowers"
152,4,"     that list our love, and deck our bowers-"
153,4,"     adorn yon world afar, afar-"
154,4,"     the wandering star,"
155,4,""
156,4,"     'twas a sweet time for nesace- for there"
157,4,"     her world lay lolling on the golden air,"
158,4,"     near four bright suns- a temporary rest-"
159,4,"     an oasis in desert of the blest,"
160,4,"     away- away- 'mid seas of rays that roll"
161,4,"     empyrean splendor o'er th' unchained soul-"
162,4,"     the soul that scarce the billows are so dense"
163,4,"     can struggle to its destin'd eminence,-"
164,4,"     to distant spheres, from time to time, she rode"
165,4,"     and late to ours, the favor'd one of god-"
166,4,"     but, now, the ruler of an anchor'd realm,"
167,4,"     she throws aside the sceptre- leaves the helm,"
168,4,"     and, amid incense and high spiritual hymns,"
169,4,"     laves in quadruple light her angel limbs,"
170,4,""
171,4,"     now happiest, loveliest in yon lovely earth,"
172,4,"     whence sprang the ""idea of beauty"" into birth,"
173,4,"     falling in wreaths thro' many a startled star,"
174,4,"     like woman's hair 'mid pearls, until, afar,"
175,4,"     it lit on hills achaian, and there dwelt"
176,4,"     she looked into infinity- and knelt,"
177,4,"     rich clouds, for canopies, about her curled-"
178,4,"     fit emblems of the model of her world-"
179,4,"     seen but in beauty- not impeding sight"
180,4,"     of other beauty glittering thro' the light-"
181,4,"     a wreath that twined each starry form around,"
182,4,"     and all the opal'd air in color bound,"
183,4,""
184,4,"       all hurriedly she knelt upon a bed"
185,4,"     of flowers, of lilies such as rear'd the head"
186,4,"     on the fair capo deucato, and sprang"
187,4,"     so eagerly around about to hang"
188,4,"     upon the flying footsteps of- deep pride-"
189,4,"     of her who lov'd a mortal- and so died,"
190,4,"     the sephalica, budding with young bees,"
191,4,"     upreared its purple stem around her knees,-"
192,4,"     and gemmy flower, of trebizond misnam'd-"
193,4,"     inmate of highest stars, where erst it sham'd"
194,4,"     all other loveliness,- its honied dew"
195,4,"     the fabled nectar that the heathen knew"
196,4,"     deliriously sweet, was dropp'd from heaven,"
197,4,"     and fell on gardens of the unforgiven"
198,4,"     in trebizond- and on a sunny flower"
199,4,"     so like its own above that, to this hour,"
200,4,"     it still remaineth, torturing the bee"
201,4,"     with madness, and unwonted reverie,"
202,4,"     in heaven, and all its environs, the leaf"
203,4,"     and blossom of the fairy plant in grief"
204,4,"     disconsolate linger- grief that hangs her head,"
205,4,"     repenting follies that full long have red,"
206,4,"     heaving her white breast to the balmy air,"
207,4,"     like guilty beauty, chasten'd and more fair,"
208,4,"     nyctanthes too, as sacred as the light"
209,4,"     she fears to perfume, perfuming the night,"
210,4,"     and clytia, pondering between many a sun,"
211,4,"     while pettish tears adown her petals run,"
212,4,"     and that aspiring flower that sprang on earth,"
213,4,"     and died, ere scarce exalted into birth,"
214,4,"     bursting its odorous heart in spirit to wing"
215,4,"     its way to heaven, from garden of a king,"
216,4,"     and valisnerian lotus, thither flown"""
217,4,"     from struggling with the waters of the rhone,"
218,4,"     and thy most lovely purple perfume, zante!"
219,4,"     isola d'oro!- fior di levante!"
220,4,"     and the nelumbo bud that floats for ever"
221,4,"     with indian cupid down the holy river-"
222,4,"     fair flowers, and fairy! to whose care is given"
223,4,"     to bear the goddess' song, in odors, up to heaven,"
224,4,""
225,4,"          ""spirit! that dwellest where,"
226,4,"            in the deep sky,"
227,4,"          the terrible and fair,"
228,4,"            in beauty vie!"
229,4,"          beyond the line of blue-"
230,4,"            the boundary of the star"
231,4,"          which turneth at the view"
232,4,"            of thy barrier and thy bar-"
233,4,"          of the barrier overgone"
234,4,"            by the comets who were cast"
235,4,"          from their pride and from their throne"
236,4,"            to be drudges till the last-"
237,4,"          to be carriers of fire"
238,4,"            the red fire of their heart"
239,4,"          with speed that may not tire"
240,4,"            and with pain that shall not part-"
241,4,"          who livest- that we know-"
242,4,"            in eternity- we feel-"
243,4,"          but the shadow of whose brow"
244,4,"            what spirit shall reveal?"
245,4,"          tho' the beings whom thy nesace,"
246,4,"            thy messenger hath known"
247,4,"          have dream'd for thy infinity"
248,4,"            a model of their own-"
249,4,"          thy will is done, o god!"
250,4,"            the star hath ridden high"
251,4,"          thro' many a tempest, but she rode"
252,4,"            beneath thy burning eye;"
253,4,"          and here, in thought, to thee-"
254,4,"            in thought that can alone"
255,4,"          ascend thy empire and so be"
256,4,"            a partner of thy throne-"
257,4,"          by winged fantasy,"
258,4,"          my embassy is given,"
259,4,"          till secrecy shall knowledge be"
260,4,"            in the environs of heaven,"""
261,4,""
262,4,"     she ceas'd- and buried then her burning cheek"
263,4,"     abash'd, amid the lilies there, to seek"
264,4,"     a shelter from the fervor of his eye;"
265,4,"     for the stars trembled at the deity,"
266,4,"     she stirr'd not- breath'd not- for a voice was there"
267,4,"     how solemnly pervading the calm air!"
268,4,"     a sound of silence on the startled ear"
269,4,"     which dreamy poets name ""the music of the sphere,"""
270,4,"     ours is a world of words, quiet we call"
271,4,"     ""silence""- which is the merest word of all,"
272,4,"     all nature speaks, and ev'n ideal things"
273,4,"     flap shadowy sounds from visionary wings-"
274,4,"     but ah! not so when, thus, in realms on high"
275,4,"     the eternal voice of god is passing by,"
276,4,"     and the red winds are withering in the sky,-"
277,4,""
278,4,"       ""what tho 'in worlds which sightless cycles run,"
279,4,"     linked to a little system, and one sun-"
280,4,"     where all my love is folly and the crowd"
281,4,"     still think my terrors but the thunder cloud,"
282,4,"     the storm, the earthquake, and the ocean-wrath-"
283,4,"     ah! will they cross me in my angrier path?"
284,4,"     what tho' in worlds which own a single sun"
285,4,"     the sands of time grow dimmer as they run,"
286,4,"     yet thine is my resplendency, so given"
287,4,"     to bear my secrets thro' the upper heaven!"
288,4,"     leave tenantless thy crystal home, and fly,"
289,4,"     with all thy train, athwart the moony sky-"
290,4,"     apart- like fire-flies in sicilian night,"
291,4,"     and wing to other worlds another light!"
292,4,"     divulge the secrets of thy embassy"
293,4,"     to the proud orbs that twinkle- and so be"
294,4,"     to ev'ry heart a barrier and a ban"
295,4,"     lest the stars totter in the guilt of man!"""
296,4,""
297,4,"       up rose the maiden in the yellow night,"
298,4,"     the single-mooned eve!- on earth we plight"
299,4,"     our faith to one love- and one moon adore-"
300,4,"     the birth-place of young beauty had no more,"
301,4,"     as sprang that yellow star from downy hours"
302,4,"     up rose the maiden from her shrine of flowers,"
303,4,"     and bent o'er sheeny mountains and dim plain"
304,4,"     her way, but left not yet her therasaean reign,"
305,4,                   part ii
306,4,""
307,4,"     high on a mountain of enamell'd head-"
308,4,"     such as the drowsy shepherd on his bed"
309,4,"     of giant pasturage lying at his ease,"
310,4,"     raising his heavy eyelid, starts and sees"
311,4,"     with many a mutter'd ""hope to be forgiven"""
312,4,"     what time the moon is quadrated in heaven-"
313,4,"     of rosy head that, towering far away"
314,4,"     into the sunlit ether, caught the ray"
315,4,"     of sunken suns at eve- at noon of night,"
316,4,"     while the moon danc'd with the fair stranger light-"
317,4,"     uprear'd upon such height arose a pile"
318,4,"     of gorgeous columns on th' unburthen'd air,"
319,4,"     flashing from parian marble that twin smile"
320,4,"     far down upon the wave that sparkled there,"
321,4,"     and nursled the young mountain in its lair,"
322,4,"     of molten stars their pavement, such as fall"
323,4,"     thro' the ebon air, besilvering the pall"
324,4,"     of their own dissolution, while they die-"
325,4,"     adorning then the dwellings of the sky,"
326,4,"     a dome, by linked light from heaven let down,"
327,4,"     sat gently on these columns as a crown-"
328,4,"     a window of one circular diamond, there,"
329,4,"     look'd out above into the purple air,"
330,4,"     and rays from god shot down that meteor chain"
331,4,"     and hallow'd all the beauty twice again,"
332,4,"     save, when, between th' empyrean and that ring,"
333,4,"     some eager spirit flapp'd his dusky wing,"
334,4,"     but on the pillars seraph eyes have seen"
335,4,"     the dimness of this world, that greyish green"
336,4,"     that nature loves the best beauty's grave"
337,4,"     lurk'd in each cornice, round each architrave-"
338,4,"     and every sculptur'd cherub thereabout"
339,4,"     that from his marble dwelling peered out,"
340,4,"     seem'd earthly in the shadow of his niche-"
341,4,"     achaian statues in a world so rich!"
342,4,"     friezes from tadmor and persepolis-"
343,4,"     from balbec, and the stilly, clear abyss"
344,4,"     of beautiful gomorrah! o, the wave"
345,4,     is now upon thee- but too late to save!
346,4,""
347,4,"       sound loves to revel in a summer night,"
348,4,"     witness the murmur of the grey twilight"
349,4,"     that stole upon the ear, in eyraco,"
350,4,"     of many a wild star-gazer long ago-"
351,4,"     that stealeth ever on the ear of him"
352,4,"     who, musing, gazeth on the distance dim,"
353,4,"     and sees the darkness coming as a cloud-"
354,4,     is not its form- its voice- most palpable and loud?
355,4,""
356,4,"       but what is this?- it cometh, and it brings"
357,4,"     a music with it- 'tis the rush of wings-"
358,4,"     a pause- and then a sweeping, falling strain"
359,4,"     and nesace is in her halls again,"
360,4,"     from the wild energy of wanton haste"
361,4,"       her cheeks were flushing, and her lips apart;"
362,4,"     and zone that clung around her gentle waist"
363,4,"       had burst beneath the heaving of her heart,"
364,4,"     within the centre of that hall to breathe,"
365,4,"     she paused and panted, zanthe! all beneath,"
366,4,"     the fairy light that kiss'd her golden hair"
367,4,"     and long'd to rest, yet could but sparkle there,"
368,4,""
369,4,"       young flowers were whispering in melody"
370,4,"     to happy flowers that night- and tree to tree;"
371,4,"     fountains were gushing music as they fell"
372,4,"     in many a star-lit grove, or moon-lit dell;"
373,4,"     yet silence came upon material things-"
374,4,"     fair flowers, bright waterfalls and angel wings-"
375,4,"     and sound alone that from the spirit sprang"
376,4,"     bore burthen to the charm the maiden sang,"
377,4,""
378,4,"            ""'neath the blue-bell or streamer-"
379,4,"            or tufted wild spray"
380,4,"          that keeps, from the dreamer,"
381,4,"            the moonbeam away-"
382,4,"          bright beings! that ponder,"
383,4,"            with half closing eyes,"
384,4,"          on the stars which your wonder"
385,4,"            hath drawn from the skies,"
386,4,"          till they glance thro' the shade, and"
387,4,"            come down to your brow"
388,4,"          like- eyes of the maiden"
389,4,"            who calls on you now-"
390,4,"          arise! from your dreaming"
391,4,"            in violet bowers,"
392,4,"          to duty beseeming"
393,4,"            these star-litten hours-"
394,4,"          and shake from your tresses"
395,4,"            encumber'd with dew"
396,4,"          the breath of those kisses"
397,4,"            that cumber them too-"
398,4,"          o! how, without you, love!"
399,4,"            could angels be blest?"
400,4,"          those kisses of true love"
401,4,"            that lull'd ye to rest!"
402,4,"          up!- shake from your wing"
403,4,"            each hindering thing,"
404,4,"          the dew of the night-"
405,4,"            it would weigh down your flight"
406,4,"          and true love caresses-"
407,4,"            o, leave them apart!"
408,4,"          they are light on the tresses,"
409,4,"            but lead on the heart,"
410,4,""
411,4,"          ligeia! ligeia!"
412,4,"            my beautiful one!"
413,4,"          whose harshest idea"
414,4,"            will to melody run,"
415,4,"          o! is it thy will"
416,4,"            on the breezes to toss?"
417,4,"          or, capriciously still,"
418,4,"            like the lone albatros,"
419,4,"          incumbent on night"
420,4,"            as she on the air"
421,4,"          to keep watch with delight"
422,4,            on the harmony there?
423,4,""
424,4,"          ligeia! wherever"
425,4,"            thy image may be,"
426,4,"          no magic shall sever"
427,4,"            thy music from thee,"
428,4,"          thou hast bound many eyes"
429,4,"            in a dreamy sleep-"
430,4,"          but the strains still arise"
431,4,"            which thy vigilance keep-"
432,4,"          the sound of the rain,"
433,4,"            which leaps down to the flower-"
434,4,"          and dances again"
435,4,"            in the rhythm of the shower-"
436,4,"          the murmur that springs"
437,4,"            from the growing of grass"
438,4,"          are the music of things-"
439,4,"            but are modell'd, alas!-"
440,4,"          away, then, my dearest,"
441,4,"            oh! hie thee away"
442,4,"          to the springs that lie clearest"
443,4,"            beneath the moon-ray-"
444,4,"          to lone lake that smiles,"
445,4,"            in its dream of deep rest,"
446,4,"          at the many star-isles"
447,4,"            that enjewel its breast-"
448,4,"          where wild flowers, creeping,"
449,4,"            have mingled their shade,"
450,4,"          on its margin is sleeping"
451,4,"            full many a maid-"
452,4,"          some have left the cool glade, and"
453,4,"            have slept with the bee-"
454,4,"          arouse them, my maiden,"
455,4,"            on moorland and lea-"
456,4,"          go! breathe on their slumber,"
457,4,"            all softly in ear,"
458,4,"          thy musical number"
459,4,"            they slumbered to hear-"
460,4,"          for what can awaken"
461,4,"            an angel so soon,"
462,4,"          whose sleep hath been taken"
463,4,"            beneath the cold moon,"
464,4,"          as the spell which no slumber"
465,4,"            of witchery may test,"
466,4,"          the rhythmical number"
467,4,"            which lull'd him to rest?"""
468,4,""
469,4,"     spirits in wing, and angels to the view,"
470,4,"     a thousand seraphs burst th' empyrean thro',"
471,4,"     young dreams still hovering on their drowsy flight-"
472,4,"     seraphs in all but ""knowledge,"" the keen light"
473,4,"     that fell, refracted, thro' thy bounds, afar,"
474,4,"     o death! from eye of god upon that star,"
475,4,"     sweet was that error- sweeter still that death-"
476,4,"     sweet was that error- even with us the breath"
477,4,"     of science dims the mirror of our joy-"
478,4,"     to them 'twere the simoom, and would destroy-"
479,4,"     for what to them availeth it to know"
480,4,"     that truth is falsehood- or that bliss is woe?"
481,4,"     sweet was their death- with them to die was rife"
482,4,"     with the last ecstasy of satiate life-"
483,4,"     beyond that death no immortality-"
484,4,"     but sleep that pondereth and is not ""to be'!-"
485,4,"     and there- oh! may my weary spirit dwell-"
486,4,"     apart from heaven's eternity- and yet how far from hell!"
487,4,"     what guilty spirit, in what shrubbery dim,"
488,4,"     heard not the stirring summons of that hymn?"
489,4,"     but two, they fell, for heaven no grace imparts"
490,4,"     to those who hear not for their beating hearts,"
491,4,"     a maiden-angel and her seraph-lover-"
492,4,"     o! where and ye may seek the wide skies over"
493,4,"     was love, the blind, near sober duty known?"
494,4,"     unguided love hath fallen- 'mid ""tears of perfect moan,"""
495,4,"     he was a goodly spirit- he who fell,"
496,4,"     a wanderer by moss-y-mantled well-"
497,4,"     a gazer on the lights that shine above-"
498,4,"     a dreamer in the moonbeam by his love,"
499,4,"     what wonder? for each star is eye-like there,"
500,4,"     and looks so sweetly down on beauty's hair-"
501,4,"     and they, and ev'ry mossy spring were holy"
502,4,"     to his love-haunted heart and melancholy,"
503,4,"     the night had found to him a night of woe"
504,4,"     upon a mountain crag, young angelo-"
505,4,"     beetling it bends athwart the solemn sky,"
506,4,"     and scowls on starry worlds that down beneath it lie,"
507,4,"     here sat he with his love- his dark eye bent"
508,4,"     with eagle gaze along the firmament,"
509,4,"     now turn'd it upon her- but ever then"
510,4,"     it trembled to the orb of earth again,"
511,4,""
512,4,"     ""ianthe, dearest, see- how dim that ray!"
513,4,"     how lovely 'tis to look so far away!"
514,4,"     she seem'd not thus upon that autumn eve"
515,4,"     i left her gorgeous halls- nor mourn'd to leave,"
516,4,"     that eve- that eve- i should remember well-"
517,4,"     the sun-ray dropp'd in lemnos, with a spell"
518,4,"     on th' arabesque carving of a gilded hall"
519,4,"     wherein i sate, and on the draperied wall-"
520,4,"     and on my eyelids- o the heavy light!"
521,4,"     how drowsily it weigh'd them into night!"
522,4,"     on flowers, before, and mist, and love they ran"
523,4,"     with persian saadi in his gulistan,"
524,4,"     but o that light!- i slumber'd- death, the while,"
525,4,"     stole o'er my senses in that lovely isle"
526,4,"     so softly that no single silken hair"
527,4,"     awoke that slept- or knew that he was there,"
528,4,""
529,4,"     ""the last spot of earth's orb i trod upon"
530,4,"     was a proud temple call'd the parthenon;"
531,4,"     more beauty clung around her column'd wall"
532,4,"     than ev'n thy glowing bosom beats withal,"
533,4,"     and when old time my wing did disenthral"
534,4,"     thence sprang i- as the eagle from his tower,"
535,4,"     and years i left behind me in an hour,"
536,4,"     what time upon her airy bounds i hung,"
537,4,"     one half the garden of her globe was flung"
538,4,"     unrolling as a chart unto my view-"
539,4,"     tenantless cities of the desert too!"
540,4,"     ianthe, beauty crowded on me then,"
541,4,"     and half i wish'd to be again of men,"""
542,4,""
543,4,"     ""my angelo! and why of them to be?"
544,4,"     a brighter dwelling-place is here for thee-"
545,4,"     and greener fields than in yon world above,"
546,4,"     and woman's loveliness- and passionate love,"""
547,4,""
548,4,"     ""but, list, ianthe! when the air so soft"
549,4,"     fail'd, as my pennon'd spirit leapt aloft,"
550,4,"     perhaps my brain grew dizzy- but the world"
551,4,"     i left so late was into chaos hurl'd-"
552,4,"     sprang from her station, on the winds apart,"
553,4,"     and roll'd, a flame, the fiery heaven athwart,"
554,4,"     methought, my sweet one, then i ceased to soar"
555,4,"     and fell- not swiftly as i rose before,"
556,4,"     but with a downward, tremulous motion thro'"
557,4,"     light, brazen rays, this golden star unto!"
558,4,"     nor long the measure of my falling hours,"
559,4,"     for nearest of all stars was thine to ours-"
560,4,"     dread star! that came, amid a night of mirth,"
561,4,"     a red daedalion on the timid earth,"""
562,4,""
563,4,"     ""we came- and to thy earth- but not to us"
564,4,"     be given our lady's bidding to discuss,"
565,4,"     we came, my love; around, above, below,"
566,4,"     gay fire-fly of the night we come and go,"
567,4,"     nor ask a reason save the angel-nod"
568,4,"     she grants to us, as granted by her god-"
569,4,"     but, angelo, than thine grey time unfurl'd"
570,4,"     never his fairy wing o'er fairier world!"
571,4,"     dim was its little disk, and angel eyes"
572,4,"     alone could see the phantom in the skies,"
573,4,"     when first al aaraaf knew her course to be"
574,4,"     headlong thitherward o'er the starry sea-"
575,4,"     but when its glory swell'd upon the sky,"
576,4,"     as glowing beauty's bust beneath man's eye,"
577,4,"     we paused before the heritage of men,"
578,4,"     and thy star trembled- as doth beauty then!"""
579,4,""
580,4,"     thus, in discourse, the lovers whiled away"
581,4,"     the night that waned and waned and brought no day,"
582,4,"     they fell, for heaven to them no hope imparts"
583,4,"     who hear not for the beating of their hearts,"
584,5,"from childhood's hour i have not been"
585,5,"as others were; i have not seen"
586,5,"as others saw; i could not bring"
587,5,"my passions from a common spring,"
588,5,"from the same source i have not taken"
589,5,"my sorrow; i could not awaken"
590,5,"my heart to joy at the same tone;"
591,5,"and all i loved, i loved alone,"
592,5,"then- in my childhood, in the dawn"
593,5,"of a most stormy life- was drawn"
594,5,"from every depth of good and ill"
595,5,"the mystery which binds me still,"
596,5,"from the torrent, or the fountain,"
597,5,"from the red cliff of the mountain,"
598,5,"from the sun that round me rolled"
599,5,"in its autumn tint of gold,"
600,5,"from the lightning in the sky"
601,5,"as it passed me flying by,"
602,5,"from the thunder and the storm,"
603,5,"and the cloud that took the form"
604,5,"when the rest of heaven was blue"
605,5,"of a demon in my view,"
606,6,"elizabeth it is in vain you say"
607,6,"""love not"" — thou sayest it in so sweet a way,"
608,6,"in vain those words from thee or l, e, l,"
609,6,"zantippe's talents had enforced so well,"
610,6,"ah! if that language from thy heart arise,"
611,6,"breathe it less gently forth — and veil thine eyes,"
612,6,"endymion, recollect, when luna tried"
613,6,"to cure his love — was cured of all beside —"
614,6,"his folly — pride — and passion — for he died,"
615,7,"""seldom we find,"" says solomon don dunce,"
616,7,"       ""half an idea in the profoundest sonnet,"
617,7,"     through all the flimsy things we see at once"
618,7,"       as easily as through a naples bonnet-"
619,7,"       trash of all trash!- how can a lady don it?"
620,7,"     yet heavier far than your petrarchan stuff-"
621,7,"     owl-downy nonsense that the faintest puff"
622,7,"       twirls into trunk-paper the while you con it,"""
623,7,"     and, veritably, sol is right enough,"
624,7,"     the general tuckermanities are arrant"
625,7,"     bubbles- ephemeral and so transparent-"
626,7,"       but this is, now- you may depend upon it-"
627,7,"     stable, opaque, immortal- all by dint"
628,7,"     of the dear names that he concealed within 't,"
629,8,"it was many and many a year ago,"
630,8,"         in a kingdom by the sea,"
631,8,"   that a maiden there lived whom you may know"
632,8,"         by the name of annabel lee;"
633,8,"   and this maiden she lived with no other thought"
634,8,"         than to love and be loved by me,"
635,8,""
636,8,"   i was a child and she was a child,"
637,8,"         in this kingdom by the sea;"
638,8,"   but we loved with a love that was more than love-"
639,8,"         i and my annabel lee;"
640,8,"   with a love that the winged seraphs of heaven"
641,8,"         coveted her and me,"
642,8,""
643,8,"   and this was the reason that, long ago,"
644,8,"         in this kingdom by the sea,"
645,8,"   a wind blew out of a cloud, chilling"
646,8,"         my beautiful annabel lee;"
647,8,"   so that her highborn kinsman came"
648,8,"         and bore her away from me,"
649,8,"   to shut her up in a sepulchre"
650,8,"         in this kingdom by the sea,"
651,8,""
652,8,"   the angels, not half so happy in heaven,"
653,8,"         went envying her and me-"
654,8,"   yes!- that was the reason as all men know,"
655,8,"         in this kingdom by the sea"
656,8,"   that the wind came out of the cloud by night,"
657,8,"         chilling and killing my annabel lee,"
658,8,""
659,8,"   but our love it was stronger by far than the love"
660,8,"         of those who were older than we-"
661,8,"         of many far wiser than we-"
662,8,"   and neither the angels in heaven above,"
663,8,"         nor the demons down under the sea,"
664,8,"   can ever dissever my soul from the soul"
665,8,"         of the beautiful annabel lee,"
666,8,""
667,8,"   for the moon never beams without bringing me dreams"
668,8,"         of the beautiful annabel lee;"
669,8,"   and the stars never rise but i feel the bright eyes"
670,8,"         of the beautiful annabel lee;"
671,8,"   and so, all the night-tide, i lie down by the side"
672,8,"   of my darling- my darling- my life and my bride,"
673,8,"         in the sepulchre there by the sea,"
674,8,"         in her tomb by the sounding sea,"
675,9,"the ring is on my hand,"
676,9,"        and the wreath is on my brow;"
677,9,"      satin and jewels grand"
678,9,"      are all at my command,"
679,9,"        and i am happy now,"
680,9,""
681,9,"      and my lord he loves me well;"
682,9,"        but, when first he breathed his vow,"
683,9,"      i felt my bosom swell-"
684,9,"      for the words rang as a knell,"
685,9,"      and the voice seemed his who fell"
686,9,"      in the battle down the dell,"
687,9,"        and who is happy now,"
688,9,""
689,9,"      but he spoke to re-assure me,"
690,9,"        and he kissed my pallid brow,"
691,9,"      while a reverie came o'er me,"
692,9,"      and to the church-yard bore me,"
693,9,"      and i sighed to him before me,"
694,9,"      thinking him dead d'elormie,"
695,9,"      ""oh, i am happy now!"""
696,9,""
697,9,"      and thus the words were spoken,"
698,9,"        and this the plighted vow,"
699,9,"      and, though my faith be broken,"
700,9,"      and, though my heart be broken,"
701,9,"      here is a ring, as token"
702,9,        that i am happy now!
703,9,""
704,9,"      would god i could awaken!"
705,9,"        for i dream i know not how!"
706,9,"      and my soul is sorely shaken"
707,9,"      lest an evil step be taken,-"
708,9,"      lest the dead who is forsaken"
709,9,"        may not be happy now,"
710,10,"by a route obscure and lonely,"
711,10,"haunted by ill angels only,"
712,10,"where an eidolon, named night,"
713,10,"on a black throne reigns upright,"
714,10,"i have reached these lands but newly"
715,10,"from an ultimate dim thule-"
716,10,"from a wild clime that lieth, sublime,"
717,10,"out of space- out of time,"
718,10,""
719,10,"bottomless vales and boundless floods,"
720,10,"and chasms, and caves, and titan woods,"
721,10,"with forms that no man can discover"
722,10,"for the tears that drip all over;"
723,10,"mountains toppling evermore"
724,10,"into seas without a shore;"
725,10,"seas that restlessly aspire,"
726,10,"surging, unto skies of fire;"
727,10,"lakes that endlessly outspread"
728,10,"their lone waters- lone and dead,-"
729,10,"their still waters- still and chilly"
730,10,"with the snows of the lolling lily,"
731,10,""
732,10,"by the lakes that thus outspread"
733,10,"their lone waters, lone and dead,-"
734,10,"their sad waters, sad and chilly"
735,10,"with the snows of the lolling lily,-"
736,10,"by the mountains- near the river"
737,10,"murmuring lowly, murmuring ever,-"
738,10,"by the grey woods,- by the swamp"
739,10,"where the toad and the newt encamp-"
740,10,"by the dismal tarns and pools"
